nombre repo,nombre componente,tipo,capa,tabla,uuaa
Test,t_kcmc_binnes.conf,hammurabi,master,t_kcmc_binnes,kcmc
Test,t_kcmc_cards_cond.conf,hammurabi,master,t_kcmc_cards_cond,kcmc
Test,t_kcmc_cards_instl_accrual.conf,hammurabi,master,t_kcmc_cards_instl_accrual,kcmc
Test,t_kcmc_cards_instl_plan.conf,hammurabi,master,t_kcmc_cards_instl_plan,kcmc
Test,t_kcmc_commerce.conf,hammurabi,master,t_kcmc_commerce,kcmc
Test,t_kcmc_commerce_tpv.conf,hammurabi,master,t_kcmc_commerce_tpv,kcmc
Test,t_kcmc_oper_docum_cond.conf,hammurabi,master,t_kcmc_oper_docum_cond,kcmc
Test,t_kcmc_paygold.conf,hammurabi,master,t_kcmc_paygold,kcmc
Test,t_kcmc_tpvs_cond.conf,hammurabi,master,t_kcmc_tpvs_cond,kcmc
Test,t_kcmc_tpvs_fees.conf,hammurabi,master,t_kcmc_tpvs_fees,kcmc
Test,t_kcmc_tpv_devices.conf,hammurabi,master,t_kcmc_tpv_devices,kcmc
Test,t_kcms_cards_balances.conf,hammurabi,master,t_kcms_cards_balances,kcms
Test,t_kcms_oper_docum_balances.conf,hammurabi,master,t_kcms_oper_docum_balances,kcms
Test,t_kcnc_account_blocked.conf,hammurabi,master,t_kcnc_account_blocked,kcnc
Test,t_kcnc_account_cond.conf,hammurabi,master,t_kcnc_account_cond,kcnc
Test,t_kcns_account_balances.conf,hammurabi,master,t_kcns_account_balances,kcns
Test,t_kdpc_deposits_cond.conf,hammurabi,master,t_kdpc_deposits_cond,kdpc
Test,t_kdps_deposit_balances.conf,hammurabi,master,t_kdps_deposit_balances,kdps
Test,t_kfdc_funds_plans_cond.conf,hammurabi,master,t_kfdc_funds_plans_cond,kfdc
Test,t_kfds_eom_funds_plans_balances.conf,hammurabi,master,t_kfds_eom_funds_plans_balances,kfds
Test,t_kfds_funds_plans_balances.conf,hammurabi,master,t_kfds_funds_plans_balances,kfds
Test,t_kfds_securities_balances.conf,hammurabi,master,t_kfds_securities_balances,kfds
Test,t_kfic_fctr_cnfrm_cond.conf,hammurabi,master,t_kfic_fctr_cnfrm_cond,kfic
Test,t_kfic_fctr_cnfrm_invoice.conf,hammurabi,master,t_kfic_fctr_cnfrm_invoice,kfic
Test,t_kfic_imp_exp_cond.conf,hammurabi,master,t_kfic_imp_exp_cond,kfic
Test,t_kfic_imp_exp_limit_cond.conf,hammurabi,master,t_kfic_imp_exp_limit_cond,kfic
Test,t_kfic_leas_rent_cond.conf,hammurabi,master,t_kfic_leas_rent_cond,kfic
Test,t_kfic_loans_cond.conf,hammurabi,master,t_kfic_loans_cond,kfic
Test,t_kfic_loans_instl_plan.conf,hammurabi,master,t_kfic_loans_instl_plan,kfic
Test,t_kfis_leas_rent_balances.conf,hammurabi,master,t_kfis_leas_rent_balances,kfis
Test,t_kfis_loans_balances.conf,hammurabi,master,t_kfis_loans_balances,kfis
Test,t_kgbc_guarantee_cond.conf,hammurabi,master,t_kgbc_guarantee_cond,kgbc
Test,t_kgbs_guarantee_balances.conf,hammurabi,master,t_kgbs_guarantee_balances,kgbs
Test,t_kinc_nosvins_insurances_cond.conf,hammurabi,master,t_kinc_nosvins_insurances_cond,kinc
Test,t_kinc_savings_insurances_cond.conf,hammurabi,master,t_kinc_savings_insurances_cond,kinc
Test,t_ksag_customer_segmentation.conf,hammurabi,master,t_ksag_customer_segmentation,ksag
Test,t_ksag_eom_local_group.conf,hammurabi,master,t_ksag_eom_local_group,ksag
Test,t_ksag_eom_prtcpt_lcl_group.conf,hammurabi,master,t_ksag_eom_prtcpt_lcl_group,ksag
Test,t_ksag_eom_segmentation.conf,hammurabi,master,t_ksag_eom_segmentation,ksag
Test,t_ksin_svin_insurances_balances.conf,hammurabi,master,t_ksin_svin_insurances_balances,ksin
Test,t_ksnf_customer_non_fin_svc.conf,hammurabi,master,t_ksnf_customer_non_fin_svc,ksnf
Test,t_krea_contract_oper_relation_ham_master.conf,hammurabi,master,t_krea_contract_oper_relation,krea
Test,t_krea_devr_ln_re_ass_poss_byrs_ham_master.conf,hammurabi,master,t_krea_devr_ln_re_ass_poss_byrs,krea
Test,t_krea_devr_ln_re_ass_sale_stat_ham_master.conf,hammurabi,master,t_krea_devr_ln_re_ass_sale_stat,krea
Test,t_krea_re_data_ham_master.conf,hammurabi,master,t_krea_re_data,krea
Test,t_krea_re_dev_deg_inspections_ham_master.conf,hammurabi,master,t_krea_re_dev_deg_inspections,krea
Test,t_krea_re_land_type_variables_ham_master.conf,hammurabi,master,t_krea_re_land_type_variables,krea
Test,t_krea_re_project_data_ham_master.conf,hammurabi,master,t_krea_re_project_data,krea
Test,t_krea_re_project_land_type_ham_master.conf,hammurabi,master,t_krea_re_project_land_type,krea
Test,t_krea_re_project_operations_ham_master.conf,hammurabi,master,t_krea_re_project_operations,krea
Test,t_krea_re_project_sale_type_ham_master.conf,hammurabi,master,t_krea_re_project_sale_type,krea
Test,t_krea_re_project_sale_type_l1t_ham_master.conf,hammurabi,master,t_krea_re_project_sale_type_l1t,krea
Test,t_krea_re_proj_aprs_expenses_ham_master.conf,hammurabi,master,t_krea_re_proj_aprs_expenses,krea
Test,t_krea_re_proj_event_conditions_ham_master.conf,hammurabi,master,t_krea_re_proj_event_conditions,krea
Test,t_krea_re_proj_funds_disposals_ham_master.conf,hammurabi,master,t_krea_re_proj_funds_disposals,krea
Test,t_krea_re_proj_incomes_expenses_ham_master.conf,hammurabi,master,t_krea_re_proj_incomes_expenses,krea
Test,t_krea_re_sale_type_variables_ham_master.conf,hammurabi,master,t_krea_re_sale_type_variables,krea
Test,t_krea_re_project_sale_type_l1t_kirby_master.conf,kirby,master,t_krea_re_project_sale_type_l1t,krea
Test,t_kbtq_customer_document.conf,hammurabi,master,t_kbtq_customer_document,kbtq
Test,t_kbtq_customer_hobby.conf,hammurabi,master,t_kbtq_customer_hobby,kbtq
Test,t_kbtq_customer_info.conf,hammurabi,master,t_kbtq_customer_info,kbtq
Test,t_kbtq_customer_info_t_local.conf,hammurabi,master,t_kbtq_customer_info,kbtq
Test,t_kbtq_customer_recoding.conf,hammurabi,master,t_kbtq_customer_recoding,kbtq
Test,t_kbtq_customer_vehicle.conf,hammurabi,master,t_kbtq_customer_vehicle,kbtq
Test,t_kbtq_cust_contact_chan.conf,hammurabi,master,t_kbtq_cust_contact_chan,kbtq
Test,t_kbtq_eom_customer.conf,hammurabi,master,t_kbtq_eom_customer,kbtq
Test,t_kbtq_eom_recoding.conf,hammurabi,master,t_kbtq_eom_recoding,kbtq
Test,t_kbtq_role_person.conf,hammurabi,master,t_kbtq_role_person,kbtq
Test,t_kcog_atm.conf,hammurabi,master,t_kcog_atm,kcog
Test,t_kcog_purpose.conf,hammurabi,master,t_kcog_purpose,kcog
Test,t_kcog_sector.conf,hammurabi,master,t_kcog_sector,kcog
Test,t_kcog_subsector.conf,hammurabi,master,t_kcog_subsector,kcog
Test,KBTQ_customer-info.conf,hammurabi,master,t_kbtq_customer_info,kbtq
Test,t_kbtq_customer_info_ham_master.conf,hammurabi,master,t_kbtq_customer_info,kbtq
Test,t_kbtq_customer_info_hem_ham_master.conf,hammurabi,master,t_kbtq_customer_info_hem,kbtq
Test,t_kbtq_customer_info_hem_l1t_ham_master.conf,hammurabi,master,t_kbtq_customer_info_hem_l1t,kbtq
Test,t_kbtq_customer_info_his_ham_master.conf,hammurabi,master,t_kbtq_customer_info_his,kbtq
Test,t_kbtq_customer_info_his_l1t_ham_master.conf,hammurabi,master,t_kbtq_customer_info_his_l1t,kbtq
Test,t_kbtq_customer_info_l1t_ham_master.conf,hammurabi,master,t_kbtq_customer_info_l1t,kbtq
Test,t_kbtq_customer_recoding_ham_master.conf,hammurabi,master,t_kbtq_customer_recoding,kbtq
Test,t_kbtq_customer_recoding_his_ham_master.conf,hammurabi,master,t_kbtq_customer_recoding_his,kbtq
Test,t_kbtq_customer_vehicle_ham_master.conf,hammurabi,master,t_kbtq_customer_vehicle,kbtq
Test,t_kbtq_customer_vehicle_his_ham_master.conf,hammurabi,master,t_kbtq_customer_vehicle_his,kbtq
Test,t_kbtq_cust_contact_chan_ham_master.conf,hammurabi,master,t_kbtq_cust_contact_chan,kbtq
Test,t_kbtq_cust_contact_chan_his_ham_master.conf,hammurabi,master,t_kbtq_cust_contact_chan_his,kbtq
Test,t_kbtq_cust_contact_chan_his_l1t_ham_master.conf,hammurabi,master,t_kbtq_cust_contact_chan_his_l1t,kbtq
Test,t_kbtq_cust_contact_chan_l1t_ham_master.conf,hammurabi,master,t_kbtq_cust_contact_chan_l1t,kbtq
Test,t_kbtq_role_person_ham_master.conf,hammurabi,master,t_kbtq_role_person,kbtq
Test,t_kbtq_role_person_his_ham_master.conf,hammurabi,master,t_kbtq_role_person_his,kbtq
Test,t_kbtq_customer_info_hem_kirby_master.conf,kirby,master,t_kbtq_customer_info_hem,kbtq
Test,t_kbtq_customer_info_hem_l1t_kirby_master.conf,kirby,master,t_kbtq_customer_info_hem_l1t,kbtq
Test,t_kbtq_customer_info_his_kirby_master.conf,kirby,master,t_kbtq_customer_info_his,kbtq
Test,t_kbtq_customer_info_his_l1t_kirby_master.conf,kirby,master,t_kbtq_customer_info_his_l1t,kbtq
