REPOSITORIO,CONFIGURACION,CAPA,ID OBJETO,ID FUNCIONAL,PRINCIPIO DE CALIDAD,TIPO DE REGLA,CLASE,ID CAMPO,REGLA BLOQUEANTE,PORCENTAJE MINIMO DE ACEPTACION,TIPO DE MUESTRA DE RESULTADOS KOS,3.1 - TRATAMIENTO DE VACIOS COMO NULOS,3.2 - FORMATO,4.2 - CAMPOS CLAVE DEL OBJETO,6.9 - CONDICION DE FILTRADO,6.9 - VARIACION MINIMA RELATIVA DE REGISTROS,6.9 - VARIACION MAXIMA RELATIVA DE REGISTROS
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,274657ba47,3,3.2,com.datio.hammurabi.rules.validity.FormatValidationRule,gf_email_desc,False,100,True,,"^(.+)+@(.+)+[.]+[a-zA-Z]{2,}$",,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,274657ba4f,3,3.5,com.datio.hammurabi.rules.validity.StaticCatalogRule,gf_gender_type,False,98,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,274657ba52,3,3.5,com.datio.hammurabi.rules.validity.DynamicCatalogRule,gf_segment_id,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276afe5b71,3,3.5,com.datio.hammurabi.rules.validity.DynamicCatalogRule,gf_province_birth_name,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276afe5b76,3,3.2,com.datio.hammurabi.rules.validity.FormatValidationRule,gf_personal_id,False,100,True,,"^.{1,25}$",,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276afe5b7c,3,3.5,com.datio.hammurabi.rules.validity.StaticCatalogRule,gf_customer_type,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862632,3,3.1,com.datio.hammurabi.rules.validity.NotNullValidationRule,gf_cutoff_date,False,100,True,True,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862633,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_personal_id,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862634,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_second_last_name,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862635,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_town_id,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862636,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_town_name,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862637,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_address_road_desc,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862638,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_primry_addr_road_number_id,False,80,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862639,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_prefix_phone_id,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d86263a,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_extension_phone_id,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d86263b,3,3.1,com.datio.hammurabi.rules.validity.NotNullValidationRule,gf_phone_id,False,100,True,True,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d86263c,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_card_holder_name,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d86263d,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_geographic_group_id,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d86263e,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_cno_id,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d86263f,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_employees_number,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862640,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_study_level_type,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862642,3,3.3,com.datio.hammurabi.rules.validity.StaticForbiddenValuesRule,gf_title_type,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d862643,3,3.1,com.datio.hammurabi.rules.validity.NotNullValidationRule,gf_primry_addr_road_number_id,False,80,True,True,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d86264a,5,5.3,com.datio.hammurabi.rules.integrity.SameValueComparisonRule,gf_company_foundation_date,False,100,True,,,,,,
Test,KBTQ_customer-info.conf,master,t_kbtq_customer_info,276d86264c,5,5.3,com.datio.hammurabi.rules.integrity.SameValueComparisonRule,gf_company_join_date,False,100,True,,,,,,
